"PROGRAM","VERSION","DATE","TYPE","FAKETAD","TARGET","SYSTEM","ORIGIN","CREDIT","BANNER","BANNER1","ICON_ALT","DANGER","PUBLISHED","UNDUMPED","TITLE","DESC"
"CardRomHeaderChecker","v0","","tad","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Card ROM Header Checker","","","","","","Card Rom Header Checker","ROM header checker"
"ComponentSDKVersionIdentifier","v0","","srl","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Component SDK Version Identifier","","","","TRUE","","Component SDK Version Identifier","ROM SDK checker"
"ComponentSDKVersionIdentifier","v0","","tad","TRUE","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Component SDK Version Identifier","","","","","","Component SDK Version Identifier","ROM SDK checker"
"ComponentSDKVersionIdentifier","v10","","srl","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Component SDK Version Identifier","","","","","","Component SDK Version Identifier","ROM SDK checker"
"ComponentSDKVersionIdentifier","v10","","tad","TRUE","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Component SDK Version Identifier","","","","","","Component SDK Version Identifier","ROM SDK checker"
"DSGameCardToSD","v0","","srl","","NAND","TWL (DSi)","- Gigaleaks (ctr_tools_red)","N/A","DS Game Card To SD","","","","TRUE","","DS Game Card To SD","Cartridge dumper"
"DSGameCardToSD","v0","","tad","TRUE","NAND","TWL (DSi)","- Gigaleaks (ctr_tools_red)","N/A","DS Game Card To SD","","","","","","DS Game Card To SD","Cartridge dumper"
"DSGameCardToSD","v1","","srl","","NAND","TWL (DSi)","- Gigaleaks (ctr_tools_red)","N/A","DS Game Card To SD","","","","","","DS Game Card To SD","Cartridge dumper"
"DSGameCardToSD","v1","","tad","TRUE","NAND","TWL (DSi)","- Gigaleaks (ctr_tools_red)","N/A","DS Game Card To SD","","","","","","DS Game Card To SD","Cartridge dumper"
"DSHashTable","v3446","","srl","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","DS Cart Whitelist","DS cartridge whitelist"
"DSHashTable","v3446","","tad","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","","","","","","","DS Cart Whitelist","DS cartridge whitelist"
"DSProtect","NTR","_20091209","srl","","CARD","NTR (DS)","- Nintendo Developer Portal (DSProtect SDK)","N/A","NINTENDO DS™","Demonstration","","","","","DS Protect","Emulator/piracy detection test"
"DSProtect","TWL","_20091209","srl","","CARD","NTR (DS)","- Nintendo Developer Portal (DSProtect SDK)","N/A","NINTENDO DS™","Demonstration","","","","","DS Protect","Emulator/piracy detection test"
"DSProtect","NTR_thumb","_20091209","srl","","CARD","NTR (DS)","- Nintendo Developer Portal (DSProtect SDK)","N/A","NINTENDO DS™","Demonstration","","","","","DS Protect","Emulator/piracy detection test"
"DSProtect","TWL_thumb","_20091209","srl","","CARD","NTR (DS)","- Nintendo Developer Portal (DSProtect SDK)","N/A","NINTENDO DS™","Demonstration","","","","","DS Protect","Emulator/piracy detection test"
"DSProtect","NTR","_20100629","srl","","CARD","NTR (DS)","- Nintendo Developer Portal (DSProtect SDK)","N/A","NINTENDO DS™","Demonstration","","","","","DS Protect","Emulator/piracy detection test"
"DSProtect","TWL","_20100629","srl","","CARD","NTR (DS)","- Nintendo Developer Portal (DSProtect SDK)","N/A","NINTENDO DS™","Demonstration","","","","","DS Protect","Emulator/piracy detection test"
"DSProtect","NTR_instant","_20100629","srl","","CARD","NTR (DS)","- Nintendo Developer Portal (DSProtect SDK)","N/A","NINTENDO DS™","Demonstration","","","","","DS Protect","Emulator/piracy detection test"
"DSProtect","TWL_instant","_20100629","srl","","CARD","NTR (DS)","- Nintendo Developer Portal (DSProtect SDK)","N/A","NINTENDO DS™","Demonstration","","","","","DS Protect","Emulator/piracy detection test"
"DSSound","v1828-JP","","srl","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Nintendo DSi Sound","Nintendo","","","","","DS Sound","Prototype DSi Sound"
"DSSound","v1828-JP","","tad","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Nintendo DSi Sound","Nintendo","","","","","DS Sound","Prototype DSi Sound"
"ecConfigView","v1.0","_20090303","srl","","NAND","TWL (DSi)","- Gigaleaks (sd.rar)","N/A","EC file utility","","","","TRUE","","TWL EC file utility","DSi Shop config viewer"
"ecConfigView","v1.0","_20090303","tad","","NAND","TWL (DSi)","- Gigaleaks (sd.rar)","N/A","EC file utility","","","","","","TWL EC file utility","DSi Shop config viewer"
"encodeSD","v0","_20090501","srl","","NAND","TWL (DSi)","- Gigaleaks (TwlToolsRED)","N/A","NINTENDO DSi™","Demonstration","","","","","encodeSD",""
"encodeSD","v0","_20090501","tad","","NAND","TWL (DSi)","- Gigaleaks (TwlToolsRED)","N/A","NINTENDO DSi™","Demonstration","","","","","encodeSD",""
"F-WRITER","v1.0k","_20061211","srl","","CARD","NTR (DS)","- Foxconn","March42 and j4m13c0, for <a href='https://web.archive.org/web/20230324233451/https://illusion.64history.net/'>FOI</a>","NINTENDO DS™","Demonstration","","high","TRUE","","F-WRITER","USG firmware writer"
"KART","Cartridge","","srl","","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART","","","","","","KART","Augmented reality test"
"KART","Cartridge","","tad","TRUE","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART","","","","","","KART","Augmented reality test"
"KART","K04_altheader","","srl","","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART","","","","","","KART","Augmented reality test"
"KART","K04_altheader","","tad","TRUE","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART","","","","","","KART","Augmented reality test"
"KART","K04","","srl","","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART","","","","","","KART","Augmented reality test"
"KART","K04","","tad","TRUE","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART","","","","","","KART","Augmented reality test"
"KART","K06_deleted","","srl","","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART","","","","","","KART","Augmented reality test"
"KART","K06_deleted","","tad","TRUE","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART","","","","","","KART","Augmented reality test"
"KART","K06","","srl","","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART","","","","","","KART","Augmented reality test"
"KART","K06","","tad","TRUE","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART","","","","","","KART","Augmented reality test"
"KART","K07_2","","srl","","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART2","","","","","","KART","Augmented reality test"
"KART","K07_2","","tad","TRUE","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART2","","","","","","KART","Augmented reality test"
"KART","K07_n2","","srl","","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KARTn2","","","","","","KART","Augmented reality test"
"KART","K07_n2","","tad","TRUE","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KARTn2","","","","","","KART","Augmented reality test"
"KART","K07","","srl","","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART","","","","","","KART","Augmented reality test"
"KART","K07","","tad","TRUE","NAND","TWL (DSi)","- Development Classroom DSi","collection_nintendo, rmc, MaxiBash, and xp","camera KART","","","","","","KART","Augmented reality test"
"SDMC_Launcher","Dev","_20080821","nand","","Stage2","TWL (DSi)","- TWL EVA","N/A","","","","high","TRUE","","SDMC Launcher","SD booter stage2"
"SDMC_Launcher","Prod","_20080821","nand","","Stage2","TWL (DSi)","- TWL EVA","N/A","","","","high","","","SDMC Launcher","SD booter stage2"
"Launcher","v----_----","","srl","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v----_----","","tad","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v1206_5614","","srl","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v1206_5614","","tad","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v1206_5614_(update)","","srl","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v1206_5614_(update)","","tad","TRUE","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v1541_6291","","srl","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v1541_6291","","tad","TRUE","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v2235_7985","","srl","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v2235_7985","","tad","TRUE","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v2235_7985_(prod)","","srl","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v2235_7985_(prod)","","tad","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v2725_9336","","srl","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v2725_9336","","tad","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v2725_9336_(prod)","","srl","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","v2725_9336_(prod)","","tad","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","unknown","","srl","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"Launcher","unknown","","tad","TRUE","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","N/A","Launcher","","","","","","Launcher","Prototype home menu"
"MachineSettings","v----_----","","srl","","NAND","TWL (DSi)","- DSi prototypes<br>- Factory firmware<br>- Gigaleaks (TwlIPL)","- Voodooween and March42 for v2095<!--<br>-  MaxiBash, rmc for v2105-->","Settings","","","","TRUE","","Machine Settings","Prototype system settings"
"MachineSettings","v----_----","","tad","","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v1025_5199","","srl","","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v1542_6291","","srl","","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v1542_6291","","tad","TRUE","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v1206_5614","","srl","","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v1206_5614","","tad","TRUE","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v1206_5614_(update)","","srl","","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v1206_5614_(update)","","tad","","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v2095_7739","","srl","","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v2095_7739","","tad","TRUE","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v2105_7739","","srl","","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v2725_9336","","srl","","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v2725_9336","","tad","","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v2725_9336_(prod)","","srl","","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MachineSettings","v2725_9336_(prod)","","tad","","NAND","TWL (DSi)","- DSi dev units<br>- Gigaleaks (TwlIPL)","","Settings","","","","","","Machine Settings","Prototype system settings"
"MbCardBackupTest","v2.4","_20060301","srl","","CARD","NTR (DS)","- Nintendo Developer Portal","N/A","Nintendo Card Backup Util","By Mark Jawad [NOA]","","","","","mb card backup test","DS dev cart read/write tests"
"MbCardBackupTest","v2.6","_20080918","srl","","CARD","NTR (DS)","- Nintendo Developer Portal","N/A","Nintendo Card Backup Util","By Mark Jawad [NOA]","","","","","mb card backup test","DS dev cart read/write tests"
"MbChild","","","srl","","CARD","NTR (DS)","- Nintendo Developer Portal (NitroSDK)","N/A","","","","","","","MbChild","Download play test"
"MbChild","simple","","srl","","CARD","NTR (DS)","- Nintendo Developer Portal (NitroSDK)","N/A","","","","","","","MbChild","Download play test"
"MicTester","v4.0","_20070507","srl","","CARD","NTR (DS)","- Foxconn","March42, for <a href='https://web.archive.org/web/20230324233451/https://illusion.64history.net/'>FOI</a>","NINTENDO DS™","Demonstration","","","TRUE","","Mic Tester","Audio tester"
"MicTester","v4.0","_20081201","srl","","CARD","NTR (DS)","- Foxconn","March42, for <a href='https://web.archive.org/web/20230324233451/https://illusion.64history.net/'>FOI</a>","NINTENDO DS™","Demonstration","","","","","Mic Tester","Audio tester"
"MitsumiElectricDebugTool","v0","_20050426","srl","","CARD","NTR (DS)","- Mitsumi Electric","March42, for <a href='https://web.archive.org/web/20230324233451/https://illusion.64history.net/'>FOI</a>","","","","","","","Mitsumi Electric Debug Tool","DS WiFi module tester"
"NANDAgingChecker","","_20080801a","srl","","CARD","TWL (DSi)","- Gigaleaks (TwlToolRED)","N/A","NINTENDO DS™","Demonstration","","high","","","SD/NAND Aging Checker","SD & NAND read/write tests"
"nandAppSample","v0","","srl","","NAND","TWL (DSi)","- Gigaleaks (TwlToolsRED)","N/A","simple","","","","","","nandAppSample",""
"nandAppSample","v0","","tad","","NAND","TWL (DSi)","- Gigaleaks (TwlToolsRED)","N/A","simple","","","","","","nandAppSample",""
"NandFiler","v9297","","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","TRUE","","TRUE","","NandFiler","NAND save manager"
"NandFiler","v9297","","tad","TRUE","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v9826","_20090113","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v9826","_20090113","tad","TRUE","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v10126","_20090303","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v10126","_20090303","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v10616","_20090526","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v10616","_20090526","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v10769","_20090617","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v10769","_20090617","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v10772","_20090617","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v10772","_20090617","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v10984","_20090806","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v10984","_20090806","tad","TRUE","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11003","_20090824","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11003","_20090824","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11015","_20090825","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11015","_20090825","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11190","_20091125","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11190","_20091125","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11270","_20091225","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11270","_20091225","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11280","_20100113","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11280","_20100113","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11288","_20100204","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11288","_20100204","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11323","_20100426","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11323","_20100426","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11364","_20100715","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11364","_20100715","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11414","_20110420","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11414","_20110420","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11437","_20111209","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","v11437","_20111209","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","exported","_20111212","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NandFiler","exported","_20111212","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NandFiler","","","","","","NandFiler","NAND save manager"
"NANDSoundPlayer","v0_regionfree","","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL System)","N/A","NAND SoundPlayer","Nintendo","","","TRUE","","NAND SoundPlayer","SDAT player/viewer"
"NANDSoundPlayer","v0_regionfree","","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL System)","N/A","NAND SoundPlayer","Nintendo","","","","","NAND SoundPlayer","SDAT player/viewer"
"NANDSoundPlayer","v0","","srl","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL System)","N/A","NAND SoundPlayer","Nintendo","","","","","NAND SoundPlayer","SDAT player/viewer"
"NANDSoundPlayer","v0","","tad","","NAND","TWL (DSi)","- Nintendo Developer Portal (TWL System)","N/A","NAND SoundPlayer","Nintendo","","","","","NAND SoundPlayer","SDAT player/viewer"
"NANDSweeper","Secure","_20090212a","srl","","CARD","TWL (DSi)","- Gigaleaks (TwlToolRED)","N/A","NINTENDO DSi™","Demonstration","","high","TRUE","","NAND Sweeper","SD & NAND read/write tests"
"NANDSweeper","","_20090212a","srl","","CARD","TWL (DSi)","- Gigaleaks (TwlToolRED)","N/A","NINTENDO DSi™","Demonstration","","high","","","NAND Sweeper","SD & NAND read/write tests"
"NCFGCrusher","v0","","srl","","CARD","TWL (DSi)","- Nintendo Developer Portal (TWL SDK)","N/A","NCFG Crusher","","","","TRUE","","NCFG Crusher","WiFi config deletion"
"Nitro_EVA","v0.0.3","_20040617","srl","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","TRUE","","Nitro EVA","DS factory tests"
"Nitro_EVA","v1.0","_20040818","srl","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"Nitro_EVA","v5.1","_20050621","srl","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"Nitro_EVA","v6.0","_20051111","srl","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"Nitro_EVA","v8.0","_20061205","srl","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"Nitro_EVA","v9.0","_20070409","srl","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"Nitro_EVA","v10.0","_20080617","srl","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
"Nitro_EVA","v11.0","_20101027","srl","","CARD","NTR (DS)","- Foxconn","N/A","NINTENDO DS™","Demonstration","","","","","Nitro EVA","DS factory tests"
